IMO,VesselName,VesselClass,ReferenceDate,StartDate,EndDate,QuantityKiloBarrels,Area,RunDate,OriginCountry,QuantityKiloTonnes
9211999,Sanar-7,Aframax,2015-03-01,2014-12-16 02:49:33.000,2016-04-04 23:50:22.000,632.0,Black Sea & Sea Of Marmara,2025-02-19,Turkey,86.33
9042427,Mtc Ledang,MR2,2015-03-01,2014-06-02 02:13:00.000,2016-05-03 19:16:00.000,297.0,South East Asia,2025-02-19,Unknown,41.89
8617081,Pirai,Panamax,2015-03-01,2015-03-12 13:57:13.000,2015-05-13 15:57:43.000,389.0,East Coast South America,2025-02-19,Brazil,55.46
9224439,Caroline Bezengi,Suezmax,2015-03-01,2015-03-01 23:51:00.000,2015-04-09 13:00:11.500,983.0,Singapore / Malaysia,2025-02-19,Democratic Republic of the Congo,136.37
9002207,Med,Suezmax,2015-03-01,2014-08-20 11:56:26.000,2015-05-24 18:50:35.967,957.0,China & Taiwan,2025-02-19,Unknown,134.99
9445473,Atherina,VLCC,2015-03-01,2015-01-29 11:11:00.000,2015-04-29 14:36:00.000,2061.0,Arabian Gulf & Rea Sea,2025-02-19,Iraq,289.95
9534028,Cobalt Nova,VLCC,2015-03-01,2014-04-11 16:38:02.000,2015-07-24 16:38:02.000,2057.0,Singapore / Malaysia,2025-02-19,Saudi Arabia,279.41
9591284,Cosglad Lake,VLCC,2015-03-01,2015-03-28 10:19:41.000,2015-07-10 10:19:41.000,1919.0,West Africa,2025-02-19,Nigeria,258.07
9357729,Dan,VLCC,2015-03-01,2014-11-08 00:00:42.000,2016-03-05 01:24:42.000,2065.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.90
9569683,Daniel,VLCC,2015-03-01,2015-03-10 22:42:35.000,2015-09-18 17:36:52.000,2060.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,244.06
9569700,Derya,VLCC,2015-03-01,2015-01-29 15:58:23.000,2015-10-18 05:00:20.000,2060.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.21
9177155,Destiny,VLCC,2015-03-01,2015-01-22 10:00:00.000,2016-10-28 00:00:00.000,1814.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,250.27
9218454,Devon,VLCC,2015-03-01,2014-10-23 11:44:00.000,2016-10-27 00:00:00.000,1933.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.69
9218478,Diamond II,VLCC,2015-03-01,2014-07-09 15:50:36.000,2015-11-09 19:13:28.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,227.00
9357717,Dore,VLCC,2015-03-01,2015-03-21 08:01:16.600,2016-10-10 00:00:00.000,2051.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,242.99
9218466,Dover,VLCC,2015-03-01,2014-11-11 08:38:34.800,2017-02-05 00:00:00.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,264.35
9158903,Elle,VLCC,2015-03-01,2014-05-07 16:27:18.000,2015-08-22 16:27:18.000,1943.0,East Coast South America,2025-02-19,Brazil,282.25
9005235,Falcon,VLCC,2015-03-01,2015-01-23 07:09:50.000,2016-07-29 15:52:59.000,1930.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.66
9050589,Faridah,VLCC,2015-03-01,2014-12-31 16:21:21.000,2015-09-17 16:21:21.000,1948.0,Arabian Gulf & Rea Sea,2025-02-19,Saudi Arabia,266.10
9212929,Henna,VLCC,2015-03-01,2015-02-04 03:40:39.000,2016-10-28 00:00:00.000,1931.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.78
9596947,Houston,VLCC,2015-03-01,2015-03-21 10:27:46.000,2015-05-06 10:27:46.000,1936.0,Gulf of Mexico & Caribs,2025-02-19,Colombia,270.47
9315367,Minerva V,VLCC,2015-03-01,2015-02-15 15:30:43.000,2015-04-19 15:30:43.000,2056.0,West Coast North America,2025-02-19,Ecuador,307.35
9079066,Naroon,VLCC,2015-03-01,2015-01-04 12:41:00.000,2015-06-27 12:42:20.000,1928.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.00
9310147,Natalina 7,VLCC,2015-03-01,2015-02-24 10:40:45.000,2015-08-09 10:40:45.000,1929.0,Singapore / Malaysia,2025-02-19,Nigeria,259.41
9183350,Northern S,VLCC,2015-03-01,2014-12-31 10:00:00.000,2015-09-16 16:51:48.000,1814.0,Singapore / Malaysia,2025-02-19,Malaysia,234.16
9030993,Progress,VLCC,2015-03-01,2015-03-20 23:57:52.000,2015-08-01 17:28:00.000,1918.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,250.88
9181936,S Prosper,VLCC,2015-03-01,2015-03-10 17:59:56.000,2015-07-31 17:59:56.000,2028.0,Arabian Gulf & Rea Sea,2025-02-19,Oman,271.91
9200835,Sc Enterprise Lix,VLCC,2015-03-01,2015-03-01 23:50:12.000,2015-05-15 04:37:42.000,1991.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,260.43
9569645,Serena,VLCC,2015-03-01,2014-12-16 09:49:25.000,2016-01-12 15:14:32.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,242.76
8616518,Star Olba,VLCC,2015-03-01,2013-12-31 10:00:00.000,2015-11-18 21:15:12.000,1781.0,Singapore / Malaysia,2025-02-19,Unknown,251.22
9569621,Starla,VLCC,2015-03-01,2014-12-28 10:59:29.000,2015-06-08 10:59:29.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,282.70
8918265,BW Pioneer,Aframax,2015-04-01,2014-07-01 11:51:07.000,2016-04-19 15:55:24.000,540.0,Gulf of Mexico & Caribs,2025-02-19,Unknown,76.17
8508292,Gunung Kemala,Aframax,2015-04-01,2014-11-07 19:20:33.000,2015-10-21 15:24:18.000,485.0,South East Asia,2025-02-19,Unknown,68.41
8912613,Lady,Aframax,2015-04-01,2015-04-27 11:38:01.000,2015-07-06 04:57:03.000,539.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,70.38
9077331,M Spirit,Aframax,2015-04-01,2015-02-18 23:06:39.400,2015-05-01 04:58:17.600,532.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,69.46
9592252,Minerva Kythnos,Aframax,2015-04-01,2015-04-14 03:58:15.000,2015-05-22 15:54:28.000,645.0,West Coast North America,2025-02-19,United States,84.12
8124058,North Sea Producer,Aframax,2015-04-01,2014-06-24 13:48:20.000,2016-01-19 12:21:57.000,556.0,UK Continent & North Sea,2025-02-19,Unknown,78.43
9211999,Sanar-7,Aframax,2015-04-01,2014-12-16 02:49:33.000,2016-04-04 23:50:22.000,632.0,Black Sea & Sea Of Marmara,2025-02-19,Turkey,86.33
9370850,Syros Warrior,Aframax,2015-04-01,2015-04-18 12:04:35.000,2015-05-27 14:43:00.000,600.0,Singapore / Malaysia,2025-02-19,Malaysia,77.45
9042427,Mtc Ledang,MR2,2015-04-01,2014-06-02 02:13:00.000,2016-05-03 19:16:00.000,297.0,South East Asia,2025-02-19,Unknown,41.89
9330343,London Star,Panamax,2015-04-01,2015-04-22 15:53:23.000,2015-05-28 15:17:30.637,431.0,Gulf of Mexico & Caribs,2025-02-19,Colombia,63.84
8617081,Pirai,Panamax,2015-04-01,2015-03-12 13:57:13.000,2015-05-13 15:57:43.000,389.0,East Coast South America,2025-02-19,Brazil,55.46
9637777,Brasil Knutsen,Suezmax,2015-04-01,2015-04-13 19:52:50.000,2015-05-16 11:29:26.000,963.0,Gulf of Mexico & Caribs,2025-02-19,United States,125.75
9002207,Med,Suezmax,2015-04-01,2014-08-20 11:56:26.000,2015-05-24 18:50:35.967,957.0,China & Taiwan,2025-02-19,Unknown,134.99
9594767,Seaways Colorado,Suezmax,2015-04-01,2015-04-23 03:52:47.000,2015-07-13 11:40:55.000,994.0,South East Africa,2025-02-19,Nigeria,137.03
9166742,Agra,VLCC,2015-04-01,2015-04-03 17:55:28.000,2015-05-09 17:55:28.000,1975.0,East Coast South America,2025-02-19,Brazil,286.90
9429302,Athina,VLCC,2015-04-01,2015-04-04 18:14:42.000,2015-05-07 18:14:42.000,2048.0,Arabian Gulf & Rea Sea,2025-02-19,Kuwait,282.77
9534028,Cobalt Nova,VLCC,2015-04-01,2014-04-11 16:38:02.000,2015-07-24 16:38:02.000,2057.0,Singapore / Malaysia,2025-02-19,Saudi Arabia,279.41
9591284,Cosglad Lake,VLCC,2015-04-01,2015-03-28 10:19:41.000,2015-07-10 10:19:41.000,1919.0,West Africa,2025-02-19,Nigeria,258.07
9522180,DS Venture,VLCC,2015-04-01,2015-04-23 10:55:42.000,2015-08-15 10:55:42.000,1918.0,West Africa,2025-02-19,Nigeria,257.93
9357729,Dan,VLCC,2015-04-01,2014-11-08 00:00:42.000,2016-03-05 01:24:42.000,2065.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.90
9569683,Daniel,VLCC,2015-04-01,2015-03-10 22:42:35.000,2015-09-18 17:36:52.000,2060.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,244.06
9569700,Derya,VLCC,2015-04-01,2015-01-29 15:58:23.000,2015-10-18 05:00:20.000,2060.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.21
9177155,Destiny,VLCC,2015-04-01,2015-01-22 10:00:00.000,2016-10-28 00:00:00.000,1814.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,250.27
9218454,Devon,VLCC,2015-04-01,2014-10-23 11:44:00.000,2016-10-27 00:00:00.000,1933.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.69
9218478,Diamond II,VLCC,2015-04-01,2014-07-09 15:50:36.000,2015-11-09 19:13:28.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,227.00
9357717,Dore,VLCC,2015-04-01,2015-03-21 08:01:16.600,2016-10-10 00:00:00.000,2051.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,242.99
9218466,Dover,VLCC,2015-04-01,2014-11-11 08:38:34.800,2017-02-05 00:00:00.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,264.35
9158903,Elle,VLCC,2015-04-01,2014-05-07 16:27:18.000,2015-08-22 16:27:18.000,1943.0,East Coast South America,2025-02-19,Brazil,282.25
9235268,Europe,VLCC,2015-04-01,2015-04-22 07:57:11.000,2015-07-02 23:56:30.000,2849.0,Singapore / Malaysia,2025-02-19,Algeria,362.14
9005235,Falcon,VLCC,2015-04-01,2015-01-23 07:09:50.000,2016-07-29 15:52:59.000,1930.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.66
9050589,Faridah,VLCC,2015-04-01,2014-12-31 16:21:21.000,2015-09-17 16:21:21.000,1948.0,Arabian Gulf & Rea Sea,2025-02-19,Saudi Arabia,266.10
9238868,Giant,VLCC,2015-04-01,2015-04-11 13:07:19.000,2015-06-05 13:07:19.000,1996.0,Arabian Gulf & Rea Sea,2025-02-19,Oman,267.62
9205093,Grace Star,VLCC,2015-04-01,2015-04-11 03:55:00.000,2015-05-28 11:53:19.460,2017.0,Mediterranean,2025-02-19,Kazakhstan,255.99
9212917,Hasna,VLCC,2015-04-01,2015-04-13 10:41:57.000,2017-01-19 00:00:00.000,1931.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.78
9212929,Henna,VLCC,2015-04-01,2015-02-04 03:40:39.000,2016-10-28 00:00:00.000,1931.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.78
9596947,Houston,VLCC,2015-04-01,2015-03-21 10:27:46.000,2015-05-06 10:27:46.000,1936.0,Gulf of Mexico & Caribs,2025-02-19,Colombia,270.47
9079066,Naroon,VLCC,2015-04-01,2015-01-04 12:41:00.000,2015-06-27 12:42:20.000,1928.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.00
9310147,Natalina 7,VLCC,2015-04-01,2015-02-24 10:40:45.000,2015-08-09 10:40:45.000,1929.0,Singapore / Malaysia,2025-02-19,Nigeria,259.41
9515931,Nave Universe,VLCC,2015-04-01,2015-04-24 19:54:47.000,2015-06-08 15:56:23.000,1915.0,Arabian Gulf & Rea Sea,2025-02-19,Kuwait,264.40
9183350,Northern S,VLCC,2015-04-01,2014-12-31 10:00:00.000,2015-09-16 16:51:48.000,1814.0,Singapore / Malaysia,2025-02-19,Malaysia,234.16
9284960,Ocean Lily,VLCC,2015-04-01,2015-04-01 15:57:11.000,2015-07-05 19:08:40.097,1930.0,Singapore / Malaysia,2025-02-19,Oman,258.77
9224295,Octans,VLCC,2015-04-01,2015-04-29 03:56:30.000,2015-05-30 19:53:54.277,1996.0,West Coast North America,2025-02-19,Ecuador,279.45
7517882,Olo,VLCC,2015-04-01,2015-04-24 02:31:46.400,2015-06-22 02:43:00.000,1787.0,South East Africa,2025-02-19,Unknown,252.07
9030993,Progress,VLCC,2015-04-01,2015-03-20 23:57:52.000,2015-08-01 17:28:00.000,1918.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,250.88
9181936,S Prosper,VLCC,2015-04-01,2015-03-10 17:59:56.000,2015-07-31 17:59:56.000,2028.0,Arabian Gulf & Rea Sea,2025-02-19,Oman,271.91
9200835,Sc Enterprise Lix,VLCC,2015-04-01,2015-03-01 23:50:12.000,2015-05-15 04:37:42.000,1991.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,260.43
9217981,Sea Latitude,VLCC,2015-04-01,2015-04-13 12:20:37.000,2015-08-26 12:20:37.000,1996.0,Singapore / Malaysia,2025-02-19,Nigeria,266.99
9569645,Serena,VLCC,2015-04-01,2014-12-16 09:49:25.000,2016-01-12 15:14:32.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,242.76
8616518,Star Olba,VLCC,2015-04-01,2013-12-31 10:00:00.000,2015-11-18 21:15:12.000,1781.0,Singapore / Malaysia,2025-02-19,Unknown,251.22
9569621,Starla,VLCC,2015-04-01,2014-12-28 10:59:29.000,2015-06-08 10:59:29.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,282.70
